"Text","Language"
"React makes it painless to create interactive UIs","English"
"Design simple views for each state in your application","English"
"ender just the right components when your data changes.","English"
"Declarative views make your code more predictable and easier to debug","English"
"English has developed over the course of more than 1,400 years.","English"
"The earliest forms of English, a group of West Germanic","English"
"absorbed abundant French and Latin vocabulary throug","English"
"as been spreading around the world since the 17th century by the worldwide influence ","English"
"Through all types of printed and electronic media of these countries","English"
"English has become the leading language of international","English"
"in many regions and professional contexts such as science,","English"
"There are more people who have learned English as a second language than there are native speakers","English"
"and many other world and regional international organisations. It is the most widely spoken Germanic language","English"
"70% of speakers of this Indo-European branch. English speakers are called","English"
"used in different countries and regions in terms of","English"
"but it does not typically prevent understanding by speakers of other dialects and accents","English"
"on the continent. The Frisian languages, which together with the Anglic languages form the","English"
"are the closest living relatives of English. Low German/Low Saxon is also closely related","English"
"solated it from the continental Germanic languages and influences","English"
"hich were isolated, the development of English was influenced by a ","English"
"ong series of invasions of the British Isles by other peoples and","English"
"These left a profound mark of their own on the language,","English"
"English language - Wikipedia","English"
"nd grammar with many languages outside its linguistic","English"
"but it is not mutually intelligible with any of those languages either.","English"
"Some scholars have argued that English can be considered a ","English"
"vocabulary and grammar of Modern English is widely acknowledged, most specialists in language contact do not consider English","English"
"English is classified as a Germanic language because it shares","English"
"with other Germanic languages such as","English"
"while the lower classes continued speaking Anglo-Saxon","English"
"the main influence of Norman was the introduction of a wide range of ","English"
"related to politics, legislation and prestigious social domains","English"
"Middle English also greatly simplified the inflectional system, probably in order to reconcile Old","English"
"Norse and Old English, which were inflectionally different but morphologically similar","English"
"The distinction between nominative and accusative cases was lost","English"
"except in personal pronouns, the instrumental case was dropped, ","English"
"he use of the genitive case was limited to indicating ","English"
"system regularised many irregular inflectional forms","English"
"and gradually simplified the system of agreement, making word order less flexible","English"
"till retained, but none of the case endings on the nouns are present. ","English"
"By the 12th century Middle English was fully developed","English"
"it continued to be spoken until the transition to early Modern English around 1500","English"
"Middle English literature includes","English"
"The next period in the history of English was Early Modern English ","English"
"English began to rise in prestige, relative to Norman French, during the reign of","English"
"Even after the vowel shift the language still sounded different from Modern English","English"
"sword were still pronounced. Many of the grammatical features that a modern","English"
"ader of Shakespeare might find quaint or archaic represent the distinct characteristics of Early Modern English","English"
"written in Early Modern English, Matthew 8:20 says","English"
"The Foxes haue holes and the birds of the ayre haue nests","English"
"had spread English through its colonies and geopolitical dominance","English"
"Commerce, science and technology, diplomacy, art, and formal education all contributed to","English"
"English becoming the first truly global language","English"
"English also facilitated worldwide international communication.","English"
" England continued to form new colonies, and these later developed their own norms for","English"
" English was adopted in parts of North America, par","English"
"parts of Africa, Australasia, and many other regions","English"
"When they obtained political independence, some of the newly independent nations","English"
"opted to continue using English as the official language to avoid the political and other difficulties","English"
"inherent in promoting any one indigenous language above the","English"
"n the 20th century the growing economic and cultural influence of the United States","English"
"and other broadcasters, caused the language to spread across the planet much faster","English"
"In the 21st century, English is more widely spoken and written than any language has ever been.","English"
"English developed, explicit norms for standard usage were published, a","English"
"and spread through official media such as public education and state-sponsored publications.","English"
"which introduced standard spellings of words and usage norms","English"
"React makes it painless to create interactive UIs","English"
"Design simple views for each state in your application","English"
"ender just the right components when your data changes.","English"
"Declarative views make your code more predictable and easier to debug","English"
"English has developed over the course of more than 1,400 years.","English"
"The earliest forms of English, a group of West Germanic","English"
"absorbed abundant French and Latin vocabulary throug","English"
"as been spreading around the world since the 17th century by the worldwide influence ","English"
"Through all types of printed and electronic media of these countries","English"
"English has become the leading language of international","English"
"in many regions and professional contexts such as science,","English"
"There are more people who have learned English as a second language than there are native speakers","English"
"and many other world and regional international organisations. It is the most widely spoken Germanic language","English"
"70% of speakers of this Indo-European branch. English speakers are called","English"
"used in different countries and regions in terms of","English"
"but it does not typically prevent understanding by speakers of other dialects and accents","English"
"on the continent. The Frisian languages, which together with the Anglic languages form the","English"
"are the closest living relatives of English. Low German/Low Saxon is also closely related","English"
"solated it from the continental Germanic languages and influences","English"
"hich were isolated, the development of English was influenced by a ","English"
"ong series of invasions of the British Isles by other peoples and","English"
"These left a profound mark of their own on the language,","English"
"English language - Wikipedia","English"
"nd grammar with many languages outside its linguistic","English"
"but it is not mutually intelligible with any of those languages either.","English"
"Some scholars have argued that English can be considered a ","English"
"vocabulary and grammar of Modern English is widely acknowledged, most specialists in language contact do not consider English","English"
"English is classified as a Germanic language because it shares","English"
"with other Germanic languages such as","English"
"while the lower classes continued speaking Anglo-Saxon","English"
"the main influence of Norman was the introduction of a wide range of ","English"
"related to politics, legislation and prestigious social domains","English"
"Middle English also greatly simplified the inflectional system, probably in order to reconcile Old","English"
"Norse and Old English, which were inflectionally different but morphologically similar","English"
"The distinction between nominative and accusative cases was lost","English"
"except in personal pronouns, the instrumental case was dropped, ","English"
"he use of the genitive case was limited to indicating ","English"
"system regularised many irregular inflectional forms","English"
"and gradually simplified the system of agreement, making word order less flexible","English"
"till retained, but none of the case endings on the nouns are present. ","English"
"By the 12th century Middle English was fully developed","English"
"it continued to be spoken until the transition to early Modern English around 1500","English"
"Middle English literature includes","English"
"The next period in the history of English was Early Modern English ","English"
"English began to rise in prestige, relative to Norman French, during the reign of","English"
"Even after the vowel shift the language still sounded different from Modern English","English"
"sword were still pronounced. Many of the grammatical features that a modern","English"
"ader of Shakespeare might find quaint or archaic represent the distinct characteristics of Early Modern English","English"
"written in Early Modern English, Matthew 8:20 says","English"
"The Foxes haue holes and the birds of the ayre haue nests","English"
"had spread English through its colonies and geopolitical dominance","English"
"Commerce, science and technology, diplomacy, art, and formal education all contributed to","English"
"English becoming the first truly global language","English"
"English also facilitated worldwide international communication.","English"
" England continued to form new colonies, and these later developed their own norms for","English"
" English was adopted in parts of North America, par","English"
"parts of Africa, Australasia, and many other regions","English"
"When they obtained political independence, some of the newly independent nations","English"
"opted to continue using English as the official language to avoid the political and other difficulties","English"
"inherent in promoting any one indigenous language above the","English"
"n the 20th century the growing economic and cultural influence of the United States","English"
"and other broadcasters, caused the language to spread across the planet much faster","English"
"In the 21st century, English is more widely spoken and written than any language has ever been.","English"
"English developed, explicit norms for standard usage were published, a","English"
"and spread through official media such as public education and state-sponsored publications.","English"
"which introduced standard spellings of words and usage norms","English"
"React makes it painless to create interactive UIs","English"
"Design simple views for each state in your application","English"
"ender just the right components when your data changes.","English"
